date,week,name
24/06/38,quinta-feira,Corpus Christi
07/09/38,terça-feira,Independência do Brasil
12/10/38,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/38,terça-feira,Finados
15/11/38,segunda-feira,Proclamação da República
25/12/38,sábado,Natal
01/01/39,sábado,Confraternização Universal
21/02/39,segunda-feira,Carnaval
22/02/39,terça-feira,Carnaval
08/04/39,sexta-feira,Paixão de Cristo
21/04/39,quinta-feira,Tiradentes
01/05/39,domingo,Dia do Trabalho
09/06/39,quinta-feira,Corpus Christi
07/09/39,quarta-feira,Independência do Brasil
12/10/39,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/39,quarta-feira,Finados
15/11/39,terça-feira,Proclamação da República
25/12/39,domingo,Natal
01/01/40,domingo,Confraternização Universal
13/02/40,segunda-feira,Carnaval
14/02/40,terça-feira,Carnaval
30/03/40,sexta-feira,Paixão de Cristo
21/04/40,sábado,Tiradentes
01/05/40,terça-feira,Dia do Trabalho
31/05/40,quinta-feira,Corpus Christi
07/09/40,sexta-feira,Independência do Brasil
12/10/40,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/40,sexta-feira,Finados
15/11/40,quinta-feira,Proclamação da República
25/12/40,terça-feira,Natal
01/01/41,terça-feira,Confraternização Universal
04/03/41,segunda-feira,Carnaval
05/03/41,terça-feira,Carnaval
19/04/41,sexta-feira,Paixão de Cristo
21/04/41,domingo,Tiradentes
01/05/41,quarta-feira,Dia do Trabalho
20/06/41,quinta-feira,Corpus Christi
07/09/41,sábado,Independência do Brasil
12/10/41,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/41,sábado,Finados
15/11/41,sexta-feira,Proclamação da República
25/12/41,quarta-feira,Natal
01/01/42,quarta-feira,Confraternização Universal
17/02/42,segunda-feira,Carnaval
18/02/42,terça-feira,Carnaval
04/04/42,sexta-feira,Paixão de Cristo
21/04/42,segunda-feira,Tiradentes
01/05/42,quinta-feira,Dia do Trabalho
05/06/42,quinta-feira,Corpus Christi
07/09/42,domingo,Independência do Brasil
12/10/42,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/42,domingo,Finados
15/11/42,sábado,Proclamação da República
25/12/42,quinta-feira,Natal
01/01/43,quinta-feira,Confraternização Universal
09/02/43,segunda-feira,Carnaval
10/02/43,terça-feira,Carnaval
27/03/43,sexta-feira,Paixão de Cristo
21/04/43,terça-feira,Tiradentes
01/05/43,sexta-feira,Dia do Trabalho
28/05/43,quinta-feira,Corpus Christi
07/09/43,segunda-feira,Independência do Brasil
12/10/43,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/43,segunda-feira,Finados
15/11/43,domingo,Proclamação da República
25/12/43,sexta-feira,Natal
01/01/44,sexta-feira,Confraternização Universal
29/02/44,segunda-feira,Carnaval
01/03/44,terça-feira,Carnaval
15/04/44,sexta-feira,Paixão de Cristo
21/04/44,quinta-feira,Tiradentes
01/05/44,domingo,Dia do Trabalho
16/06/44,quinta-feira,Corpus Christi
07/09/44,quarta-feira,Independência do Brasil
12/10/44,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/44,quarta-feira,Finados
15/11/44,terça-feira,Proclamação da República
25/12/44,domingo,Natal
01/01/45,domingo,Confraternização Universal
20/02/45,segunda-feira,Carnaval
21/02/45,terça-feira,Carnaval
07/04/45,sexta-feira,Paixão de Cristo
21/04/45,sexta-feira,Tiradentes
01/05/45,segunda-feira,Dia do Trabalho
08/06/45,quinta-feira,Corpus Christi
07/09/45,quinta-feira,Independência do Brasil
12/10/45,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/45,quinta-feira,Finados
15/11/45,quarta-feira,Proclamação da República
25/12/45,segunda-feira,Natal
01/01/46,segunda-feira,Confraternização Universal
05/02/46,segunda-feira,Carnaval
06/02/46,terça-feira,Carnaval
23/03/46,sexta-feira,Paixão de Cristo
21/04/46,sábado,Tiradentes
01/05/46,terça-feira,Dia do Trabalho
24/05/46,quinta-feira,Corpus Christi
07/09/46,sexta-feira,Independência do Brasil
12/10/46,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/46,sexta-feira,Finados
15/11/46,quinta-feira,Proclamação da República
25/12/46,terça-feira,Natal
01/01/47,terça-feira,Confraternização Universal
25/02/47,segunda-feira,Carnaval
26/02/47,terça-feira,Carnaval
12/04/47,sexta-feira,Paixão de Cristo
21/04/47,domingo,Tiradentes
01/05/47,quarta-feira,Dia do Trabalho
13/06/47,quinta-feira,Corpus Christi
07/09/47,sábado,Independência do Brasil
12/10/47,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/47,sábado,Finados
15/11/47,sexta-feira,Proclamação da República
25/12/47,quarta-feira,Natal
01/01/48,quarta-feira,Confraternização Universal
17/02/48,segunda-feira,Carnaval
18/02/48,terça-feira,Carnaval
03/04/48,sexta-feira,Paixão de Cristo
21/04/48,terça-feira,Tiradentes
01/05/48,sexta-feira,Dia do Trabalho
04/06/48,quinta-feira,Corpus Christi
07/09/48,segunda-feira,Independência do Brasil
12/10/48,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/48,segunda-feira,Finados
